Gene_Symbol	Gene_ID	Chr	Start	End	Strand	Biotype
RPL23AP54	ENSG00000240486	8	5476548	5476966	+	processed_pseudogene
TMEM97P2	ENSG00000253866	8	20934435	20934837	-	processed_pseudogene
OR6R2P	ENSG00000273484	8	21797460	21797759	+	unprocessed_pseudogene
EIF4EP5	ENSG00000214366	8	14309033	14309672	+	processed_pseudogene
LINC03023	ENSG00000254026	8	20954012	20968904	+	lncRNA
SGCZ	ENSG00000185053	8	14084845	15238431	-	protein_coding
WBP1LP3	ENSG00000253612	8	155274	155481	+	processed_pseudogene
LINC02099	ENSG00000253490	8	29748309	29798492	+	lncRNA
LINC03021	ENSG00000277526	8	2562813	2623382	-	lncRNA
STC1	ENSG00000159167	8	23841929	23854806	-	protein_coding
MTND6P19	ENSG00000254384	8	36278960	36279483	+	unprocessed_pseudogene
UNC5D	ENSG00000156687	8	35235475	35796550	+	protein_coding
MRPL49P2	ENSG00000253934	8	16374618	16375082	+	processed_pseudogene
DNAJB6P2	ENSG00000251203	8	26433029	26434065	-	processed_pseudogene
DPYSL2	ENSG00000092964	8	26514031	26658178	+	protein_coding
HSPA8P13	ENSG00000253425	8	46549089	46550802	+	unprocessed_pseudogene
SLC25A37	ENSG00000147454	8	23528956	23575463	+	protein_coding
MBOAT4	ENSG00000177669	8	30131671	30144665	-	protein_coding
DOCK5	ENSG00000147459	8	25184689	25418082	+	protein_coding
SINHCAFP3	ENSG00000253488	8	23634876	23635507	-	processed_pseudogene
HMBOX1-IT1	ENSG00000259196	8	28949676	28955955	+	lncRNA
CCT3P1	ENSG00000253951	8	16275681	16276296	+	processed_pseudogene
HMGB1P23	ENSG00000253770	8	29218905	29219472	+	processed_pseudogene
RPL10P18	ENSG00000253995	8	33540185	33540493	+	processed_pseudogene
LEPROTL1	ENSG00000104660	8	30095408	30177208	+	protein_coding
ADRA1A	ENSG00000120907	8	26748150	26867278	-	protein_coding
MTND5P41	ENSG00000253685	8	36279491	36279696	-	unprocessed_pseudogene
NKX3-1	ENSG00000167034	8	23678697	23682938	-	protein_coding
RPL17P33	ENSG00000243844	8	29632091	29632644	+	processed_pseudogene
RPL21P80	ENSG00000243181	8	34874159	34874633	+	processed_pseudogene
RPL10AP2	ENSG00000188873	8	47157118	47157771	+	processed_pseudogene
PAICSP4	ENSG00000254244	8	4787332	4788584	+	processed_pseudogene
RPL23P10	ENSG00000244708	8	36581180	36581591	-	processed_pseudogene
MTCYBP19	ENSG00000253504	8	36277763	36278886	-	unprocessed_pseudogene
PSME2P5	ENSG00000253208	8	26547669	26548463	+	processed_pseudogene
VENTXP5	ENSG00000253569	8	33722305	33723079	-	processed_pseudogene
MTND6P20	ENSG00000254156	8	46838788	46839205	+	transcribed_processed_pseudogene
KIF13B	ENSG00000197892	8	29067278	29263124	-	protein_coding
SNX18P27	ENSG00000253418	8	43513643	43514421	+	processed_pseudogene
IDI1P2	ENSG00000253654	8	48294026	48294694	-	processed_pseudogene
COX6B1P4	ENSG00000253813	8	26835817	26836300	-	processed_pseudogene
ENTPD4-DT	ENSG00000253390	8	23458601	23484971	+	lncRNA
MAP2K1P1	ENSG00000254013	8	30027713	30028900	+	processed_pseudogene
ATP6V1G1P2	ENSG00000253502	8	47194002	47194347	-	processed_pseudogene
LSM12P1	ENSG00000232024	8	35525176	35525763	-	processed_pseudogene
MAPK6P4	ENSG00000215179	8	46972476	46974617	-	processed_pseudogene
RPS15AP24	ENSG00000241511	8	30117384	30117779	-	processed_pseudogene
PSAT1P1	ENSG00000253810	8	49740216	49741321	-	processed_pseudogene
RFPL4AP7	ENSG00000254268	8	49352630	49352844	-	processed_pseudogene
NDUFA5P12	ENSG00000248531	8	47164870	47165524	+	unprocessed_pseudogene
RPL6P22	ENSG00000240738	8	33859480	33860223	-	processed_pseudogene
CYCSP22	ENSG00000254358	8	50762460	50762798	-	processed_pseudogene
BUD31P1	ENSG00000253684	8	33641581	33641939	-	processed_pseudogene
KCTD9P6	ENSG00000229211	8	31219894	31220984	-	processed_pseudogene
R3HCC1	ENSG00000104679	8	23270120	23296279	+	protein_coding
NEFM	ENSG00000104722	8	24913758	24919098	+	protein_coding
LINC03023	ENSG00000253147	8	20953127	20968904	+	lncRNA
PDCL3P1	ENSG00000226301	8	60387262	60387995	+	processed_pseudogene
IGLV8OR8-1	ENSG00000215177	8	47202444	47202897	-	IG_V_pseudogene
RPL3P9	ENSG00000240540	8	79571153	79572335	-	processed_pseudogene
ZFHX4	ENSG00000091656	8	76681239	76867281	+	protein_coding
MRPL9P1	ENSG00000254305	8	76603240	76603852	-	transcribed_processed_pseudogene
VENTXP6	ENSG00000254105	8	73651289	73651602	+	processed_pseudogene
COX6CP8	ENSG00000253231	8	64331927	64332152	+	processed_pseudogene
IFITM8P	ENSG00000215096	8	63409064	63409457	+	processed_pseudogene
RLIG1P3	ENSG00000250962	8	88485110	88486094	+	processed_pseudogene
DPPA3P9	ENSG00000253581	8	82979411	82979886	+	processed_pseudogene
HNF4G	ENSG00000164749	8	75407914	75566834	+	protein_coding
RPL13AP18	ENSG00000241746	8	80265528	80266155	-	processed_pseudogene
HIGD1AP18	ENSG00000253952	8	77013751	77014028	-	processed_pseudogene
NPM1P6	ENSG00000213881	8	61202350	61203220	+	processed_pseudogene
RPL31P40	ENSG00000253964	8	68293446	68293818	-	processed_pseudogene
HNRNPA1P4	ENSG00000206228	8	82291624	82292379	-	processed_pseudogene
SLC2A13P1	ENSG00000254954	8	60141821	60142142	+	processed_pseudogene
ACTBP6	ENSG00000203413	8	84948585	84949674	+	processed_pseudogene
MMP16	ENSG00000156103	8	88032011	88328025	-	protein_coding
TPM3P3	ENSG00000254195	8	84162118	84162471	+	processed_pseudogene
PSKH2	ENSG00000147613	8	86047109	86088621	-	protein_coding
RPS15AP25	ENSG00000236191	8	68525517	68525906	-	processed_pseudogene
HAUS1P3	ENSG00000253226	8	72618722	72619383	-	processed_pseudogene
JCHAINP1	ENSG00000253655	8	84980073	84980547	-	processed_pseudogene
PSMA2P2	ENSG00000251234	8	93939364	93942877	-	processed_pseudogene
PSMC2P2	ENSG00000253137	8	84678798	84679842	+	processed_pseudogene
STAU2-AS1	ENSG00000253302	8	73420004	73441526	+	lncRNA
TRIM60P15	ENSG00000250857	8	46792065	46793064	+	processed_pseudogene
IRF5P1	ENSG00000251347	8	92972575	92974738	+	processed_pseudogene
RPS23P1	ENSG00000243504	8	97865054	97865485	+	processed_pseudogene
DCAF4L2	ENSG00000176566	8	87870747	87874015	-	protein_coding
RPL6P23	ENSG00000249510	8	94201913	94203052	-	processed_pseudogene
SLC7A13	ENSG00000164893	8	86214063	86321146	-	protein_coding
CA13	ENSG00000185015	8	85220587	85284073	+	protein_coding
RPS4XP10	ENSG00000244217	8	94352923	94353653	+	processed_pseudogene
MYL12AP1	ENSG00000254387	8	93849561	93850075	+	processed_pseudogene
FSBP	ENSG00000265817	8	94378377	94436952	-	protein_coding
RPS29P2	ENSG00000239281	8	41271431	41271566	+	processed_pseudogene
