Gene_Symbol	Gene_ID	Chr	Start	End	Strand	Biotype
ADRA1D	ENSG00000171873	20	4220630	4249287	-	protein_coding
DEFB129	ENSG00000125903	20	227258	229886	+	protein_coding
DYNLT3P1	ENSG00000232241	20	17479085	17479431	-	processed_pseudogene
EEF1A1P34	ENSG00000233324	20	18782424	18783690	-	processed_pseudogene
DEFB125	ENSG00000178591	20	87250	97094	+	protein_coding
SRSF10P2	ENSG00000215586	20	7831798	7832322	-	processed_pseudogene
INSM1	ENSG00000173404	20	20368104	20370949	+	protein_coding
LIN28AP3	ENSG00000271397	20	11608436	11609048	-	processed_pseudogene
DEFB128	ENSG00000185982	20	187853	189711	-	protein_coding
DEFB126	ENSG00000125788	20	142590	145751	+	protein_coding
LINC03086	ENSG00000226644	20	2207217	2213151	+	lncRNA
BTBD3	ENSG00000132640	20	11890723	11926609	+	protein_coding
RPL7P2	ENSG00000227663	20	2075555	2075822	+	processed_pseudogene
EIF4E2P1	ENSG00000213384	20	20659710	20659964	+	processed_pseudogene
PA2G4P2	ENSG00000235698	20	12380056	12381255	+	processed_pseudogene
ISM1	ENSG00000101230	20	13221274	13300651	+	protein_coding
RPL7AP13	ENSG00000235208	20	16684108	16684404	-	processed_pseudogene
CENATACP1	ENSG00000271426	20	13073667	13074312	-	processed_pseudogene
PGAM3P	ENSG00000237256	20	11621051	11621477	+	processed_pseudogene
RPS11P1	ENSG00000235544	20	11345383	11345855	-	processed_pseudogene
GAPDHP2	ENSG00000236811	20	13392677	13393674	+	processed_pseudogene
PCMTD1P7	ENSG00000282949	20	29321310	29321666	-	unprocessed_pseudogene
PDYN-AS1	ENSG00000233896	20	1947246	2030028	+	lncRNA
CFTRP2	ENSG00000282921	20	29641778	29641976	+	processed_pseudogene
POM121L3P	ENSG00000167390	20	23989292	23990454	+	unprocessed_pseudogene
CST2	ENSG00000170369	20	23823769	23826729	-	protein_coding
CFTRP3	ENSG00000204555	20	30214765	30214976	-	processed_pseudogene
DUX4L35	ENSG00000282911	20	29448517	29449306	-	unprocessed_pseudogene
SCRT2	ENSG00000215397	20	661596	675802	-	protein_coding
DEFB127	ENSG00000088782	20	157454	159163	+	protein_coding
DUX4L32	ENSG00000283069	20	29318824	29319579	+	unprocessed_pseudogene
DUX4L33	ENSG00000282894	20	29324092	29325049	+	unprocessed_pseudogene
DEFB115	ENSG00000215547	20	31257664	31259632	+	protein_coding
CST2P1	ENSG00000232595	20	23711320	23711406	-	unprocessed_pseudogene
DUX4L37	ENSG00000283020	20	29878636	29879363	-	unprocessed_pseudogene
LINC01734	ENSG00000230324	20	39213777	39224748	-	lncRNA
NPM1P19	ENSG00000223864	20	38977711	38978422	-	processed_pseudogene
DHX35-DT	ENSG00000261431	20	38961925	38962111	-	lncRNA
CDC27P3	ENSG00000283005	20	29746181	29748090	+	processed_pseudogene
RPL35AP	ENSG00000234075	20	47478214	47479010	-	processed_pseudogene
ATG3P1	ENSG00000224357	20	39329014	39329924	-	processed_pseudogene
FAM83D	ENSG00000101447	20	38926312	38953106	+	protein_coding
KCNB1	ENSG00000158445	20	49293394	49484297	-	protein_coding
CFAP61-AS1	ENSG00000243810	20	20258407	20267809	-	lncRNA
DUX4L34	ENSG00000282935	20	29410348	29411600	-	unprocessed_pseudogene
