Gene_Symbol	Gene_ID	Chr	Start	End	Strand	Biotype
RPL23AP39	ENSG00000214074	3	1730070	1730474	+	processed_pseudogene
CHL1-AS1	ENSG00000234661	3	363370	385795	-	lncRNA
WNT7A	ENSG00000154764	3	13816258	13880071	-	protein_coding
CHL1	ENSG00000134121	3	196763	409417	+	protein_coding
CIAO2AP1	ENSG00000234048	3	28427963	28428444	-	processed_pseudogene
RPL31P20	ENSG00000229756	3	24430748	24431107	+	processed_pseudogene
MESTP4	ENSG00000215004	3	29087396	29088599	+	processed_pseudogene
RPSAP32	ENSG00000238075	3	617789	618314	-	processed_pseudogene
C3orf20	ENSG00000131379	3	14675141	14773036	+	protein_coding
FECHP1	ENSG00000235534	3	34872641	34873854	+	processed_pseudogene
RPL21P17	ENSG00000214073	3	1905651	1906125	+	processed_pseudogene
MTND4LP9	ENSG00000227795	3	29797652	29797825	-	processed_pseudogene
ARPP21-AS1	ENSG00000230830	3	35650197	35651961	-	lncRNA
RPS8P6	ENSG00000231660	3	308714	309322	-	processed_pseudogene
PNPT1P1	ENSG00000229241	3	3981981	3984295	-	processed_pseudogene
THRB-IT1	ENSG00000224822	3	24455136	24459434	-	lncRNA
SDAD1P3	ENSG00000227707	3	33771963	33772295	+	processed_pseudogene
RPL34P11	ENSG00000230480	3	28447725	28448073	+	processed_pseudogene
SRGAP3-AS3	ENSG00000227929	3	9216895	9219508	+	lncRNA
LINC02011	ENSG00000260902	3	14799331	14811414	-	lncRNA
EFHB	ENSG00000163576	3	19879472	19947025	-	protein_coding
RPL39P18	ENSG00000229468	3	20012452	20012606	+	processed_pseudogene
KRT8P18	ENSG00000228767	3	35215705	35217149	-	processed_pseudogene
RPL36AP17	ENSG00000226489	3	35871866	35872198	+	processed_pseudogene
SAP18P3	ENSG00000230697	3	20007852	20008247	-	processed_pseudogene
PP2D1	ENSG00000183977	3	19979961	20012267	-	protein_coding
RBMS3-AS1	ENSG00000235593	3	29926811	29934156	-	lncRNA
HINT2P1	ENSG00000230398	3	2362258	2362738	+	processed_pseudogene
FANCD2P2	ENSG00000230342	3	11859674	11891172	+	unprocessed_pseudogene
SYN2	ENSG00000157152	3	12004388	12192032	+	protein_coding
CYCSP12	ENSG00000224263	3	11878830	11879129	-	processed_pseudogene
