Gene_Symbol	Gene_ID	Chr	Start	End	Strand	Biotype
LINC00504	ENSG00000248360	4	14470465	14888169	-	lncRNA
RPL21P46	ENSG00000241612	4	19813749	19814231	+	processed_pseudogene
CDC42P6	ENSG00000237350	4	22727375	22727950	-	processed_pseudogene
ZNF595	ENSG00000272602	4	53286	88208	+	protein_coding
MSX1	ENSG00000163132	4	4859665	4863936	+	protein_coding
RPS21P4	ENSG00000242358	4	16256308	16256555	-	processed_pseudogene
WEE1P1	ENSG00000250238	4	105959	107114	-	processed_pseudogene
SNRPCP13	ENSG00000249799	4	9583942	9584131	-	processed_pseudogene
ECM1P2	ENSG00000249995	4	12639086	12641009	+	processed_pseudogene
VPS51P18	ENSG00000249443	4	9521910	9522276	+	processed_pseudogene
HMX1	ENSG00000215612	4	8846076	8871839	-	protein_coding
GPR78	ENSG00000155269	4	8558725	8619761	+	protein_coding
RFPL4AP3	ENSG00000251220	4	23514940	23515284	-	processed_pseudogene
OR7E84P	ENSG00000284689	4	9468974	9469983	+	unprocessed_pseudogene
OR7E86P	ENSG00000248364	4	9459255	9460244	+	unprocessed_pseudogene
MTCO3P44	ENSG00000248654	4	25720516	25721056	-	unprocessed_pseudogene
LINC02270	ENSG00000251210	4	12223445	12251286	+	lncRNA
MTCO3P27	ENSG00000251430	4	64606418	64606613	+	unprocessed_pseudogene
RPS3AP17	ENSG00000244031	4	29962644	29963758	-	processed_pseudogene
MTND4P9	ENSG00000250050	4	25718082	25719745	-	unprocessed_pseudogene
RPS27P13	ENSG00000244538	4	22594196	22594450	+	processed_pseudogene
OR7E85P	ENSG00000250884	4	9483718	9484702	+	unprocessed_pseudogene
MTCO3P42	ENSG00000268391	4	49548918	49549435	-	processed_pseudogene
MTND3P24	ENSG00000249045	4	64610980	64611308	-	unprocessed_pseudogene
RPS29P11	ENSG00000242640	4	25678850	25679020	+	processed_pseudogene
ZNF718	ENSG00000250312	4	124501	202303	+	protein_coding
HMGN1P11	ENSG00000248336	4	62510469	62510771	+	processed_pseudogene
LINC02271	ENSG00000240152	4	61143656	61153962	+	lncRNA
MTND4LP22	ENSG00000248133	4	25719755	25720030	-	unprocessed_pseudogene
RPL31P31	ENSG00000239983	4	33968174	33968526	+	processed_pseudogene
RAC1P2	ENSG00000249936	4	46723830	46724408	-	processed_pseudogene
GABRB1	ENSG00000163288	4	46993723	47426447	+	protein_coding
MTCYBP16	ENSG00000251385	4	64607703	64608831	-	processed_pseudogene
SNX18P23	ENSG00000250016	4	49233289	49233965	-	processed_pseudogene
MTCO3P28	ENSG00000248328	4	64611374	64611888	-	unprocessed_pseudogene
LINC02483	ENSG00000251383	4	75354076	75362566	+	lncRNA
SNX18P24	ENSG00000251539	4	49561479	49562149	+	processed_pseudogene
EXOC5P1	ENSG00000180673	4	62816826	62818794	+	processed_pseudogene
LDHAP1	ENSG00000251587	4	4894182	4895173	-	processed_pseudogene
SRIP1	ENSG00000248660	4	58103147	58103434	+	processed_pseudogene
THAP12P9	ENSG00000248320	4	45323253	45326028	-	processed_pseudogene
MESTP3	ENSG00000250927	4	28823244	28824211	-	processed_pseudogene
RPS26P24	ENSG00000243920	4	57352999	57353329	-	processed_pseudogene
OCIAD1-AS1	ENSG00000248256	4	48852008	48860203	-	lncRNA
SNX18P25	ENSG00000249337	4	49588772	49589529	+	processed_pseudogene
HMGB1P44	ENSG00000248956	4	77963940	77964511	+	processed_pseudogene
MTND3P5	ENSG00000251353	4	25720099	25720431	-	unprocessed_pseudogene
MTND6P16	ENSG00000249893	4	64608905	64609424	+	unprocessed_pseudogene
HNRNPA1P67	ENSG00000270665	4	72807267	72808192	+	processed_pseudogene
SEC63P2	ENSG00000250416	4	35487812	35489750	+	processed_pseudogene
LINC02493	ENSG00000250819	4	17171757	17186079	-	lncRNA
SLIRPP2	ENSG00000249277	4	25686202	25686458	-	processed_pseudogene
COX7B2	ENSG00000170516	4	46734827	46909245	-	protein_coding
UGT2B11	ENSG00000213759	4	69199951	69214748	-	protein_coding
NAA11	ENSG00000156269	4	79225694	79326061	-	protein_coding
THAP9	ENSG00000168152	4	82900684	82919969	+	protein_coding
LARP1BP1	ENSG00000231442	4	63350114	63351472	+	processed_pseudogene
GK2	ENSG00000196475	4	79406361	79408228	-	protein_coding
MTND3P22	ENSG00000248946	4	49246601	49246915	+	processed_pseudogene
PRDX4P1	ENSG00000248987	4	44944015	44944961	-	processed_pseudogene
PPBPP1	ENSG00000250550	4	73847866	73848829	+	transcribed_unprocessed_pseudogene
PPP2R2C	ENSG00000074211	4	6320578	6563600	-	protein_coding
HMGA1P2	ENSG00000248641	4	73098822	73099145	+	processed_pseudogene
LINC02619	ENSG00000249382	4	58939288	58988182	-	lncRNA
MTND5P4	ENSG00000251212	4	17061878	17062165	+	processed_pseudogene
MTCO3P39	ENSG00000268736	4	49246021	49246538	+	processed_pseudogene
MTND5P13	ENSG00000250169	4	64609454	64610532	-	processed_pseudogene
LINC01217	ENSG00000251219	4	100778582	100791426	-	lncRNA
ATP5F1EP1	ENSG00000250922	4	105532475	105532630	+	processed_pseudogene
TACR3	ENSG00000169836	4	103586031	103719985	-	protein_coding
PABPC1P7	ENSG00000250651	4	102896725	102898237	+	processed_pseudogene
BANK1	ENSG00000153064	4	101411286	102074812	+	protein_coding
IGBP1P5	ENSG00000250858	4	27585145	27586144	+	processed_pseudogene
DDX3P3	ENSG00000251571	4	103572089	103574082	+	processed_pseudogene
HNRNPA1P56	ENSG00000248640	4	77987860	77988813	-	processed_pseudogene
LINC01216	ENSG00000250223	4	100660279	100675113	-	lncRNA
MTND5P5	ENSG00000251149	4	101972423	101972798	+	processed_pseudogene
EEF1A1P9	ENSG00000249264	4	105484698	105486080	+	processed_pseudogene
LINC01218	ENSG00000251636	4	100812255	100814280	-	lncRNA
MTND4LP31	ENSG00000248259	4	64610616	64610909	-	unprocessed_pseudogene
COL25A1-DT	ENSG00000246774	4	109303035	109316135	+	lncRNA
LINC02503	ENSG00000249614	4	103961616	104037543	+	lncRNA
DYNLL1P6	ENSG00000248820	4	100041841	100042104	-	processed_pseudogene
PGAM4P2	ENSG00000248488	4	115764099	115764819	-	processed_pseudogene
ARHGEF38	ENSG00000236699	4	105552620	105708093	+	protein_coding
TACR3-AS1	ENSG00000251577	4	103548745	103624534	+	lncRNA
ACTN4P1	ENSG00000213493	4	116598161	116599611	+	processed_pseudogene
MRPS33P3	ENSG00000251308	4	115142982	115143303	+	processed_pseudogene
CXCL6	ENSG00000124875	4	73836640	73849064	+	protein_coding
PIMREGP2	ENSG00000216425	4	105526596	105527397	-	processed_pseudogene
TRAM1L1	ENSG00000174599	4	117083554	117085576	-	protein_coding
NDUFS5P5	ENSG00000230671	4	118400514	118400834	-	processed_pseudogene
RPL6P14	ENSG00000244470	4	104886118	104886955	-	processed_pseudogene
ACTR3BP4	ENSG00000249283	4	102961956	102963327	+	processed_pseudogene
SETP20	ENSG00000225094	4	109553243	109554094	-	processed_pseudogene
FKBP4P1	ENSG00000251463	4	118193405	118194751	-	processed_pseudogene
TUBB4BP5	ENSG00000224062	4	121451541	121451967	+	processed_pseudogene
TTC39CP1	ENSG00000250627	4	116193997	116194751	-	processed_pseudogene
STPG2	ENSG00000163116	4	97184093	98143476	-	protein_coding
LTV1P1	ENSG00000250219	4	120091046	120092282	-	processed_pseudogene
KRT18P21	ENSG00000250363	4	115920707	115921978	+	processed_pseudogene
PARM1-AS1	ENSG00000249717	4	74955974	74970362	-	lncRNA
ARHGEF38-IT1	ENSG00000249885	4	105561591	105570238	+	lncRNA
SYNPO2	ENSG00000172403	4	118850688	119061247	+	protein_coding
