Gene_Symbol	Gene_ID	Chr	Start	End	Strand	Biotype
NHLRC4	ENSG00000257108	16	567005	569495	+	protein_coding
LINC02152	ENSG00000261319	16	8298492	8299772	+	lncRNA
DPPA3P6	ENSG00000262516	16	3840528	3841010	+	processed_pseudogene
HS3ST4	ENSG00000182601	16	25691959	26137685	+	protein_coding
CREBBP	ENSG00000005339	16	3725054	3880713	-	protein_coding
RPL7P47	ENSG00000228071	16	17932720	17933275	+	processed_pseudogene
LINC01195	ENSG00000261075	16	9446010	9455505	-	lncRNA
CYCSP39	ENSG00000260690	16	25454339	25454647	-	processed_pseudogene
HS3ST2	ENSG00000122254	16	22814162	22916338	+	protein_coding
LINC01177	ENSG00000261397	16	9441294	9444985	-	lncRNA
PCMTD1P2	ENSG00000260087	16	34139189	34139543	+	processed_pseudogene
ITPRIPL2-AS1	ENSG00000261759	16	19119976	19121629	-	lncRNA
DUX4L46	ENSG00000259987	16	34141256	34142006	-	processed_pseudogene
DUX4L47	ENSG00000260207	16	34142456	34142849	+	processed_pseudogene
PPP1R1AP2	ENSG00000261084	16	35912120	35912516	+	processed_pseudogene
DUX4L45	ENSG00000261440	16	34135736	34136792	-	processed_pseudogene
TCERG1P2	ENSG00000260675	16	17094351	17094927	-	unprocessed_pseudogene
EEF1A1P38	ENSG00000261557	16	27133483	27135179	-	processed_pseudogene
TMF1P1	ENSG00000262235	16	13458326	13458698	+	processed_pseudogene
LINC00273	ENSG00000256642	16	34158585	34160036	-	lncRNA
RPL23AP72	ENSG00000239840	16	47150132	47150566	-	processed_pseudogene
MPV17L	ENSG00000156968	16	15395754	15413271	+	protein_coding
ZC3H7A	ENSG00000122299	16	11750586	11797258	-	protein_coding
SPRING1P3	ENSG00000261748	16	16952502	16953468	-	processed_pseudogene
MMP2	ENSG00000087245	16	55389700	55506691	+	protein_coding
HSPE1P16	ENSG00000237140	16	26062750	26063097	-	processed_pseudogene
CCL17	ENSG00000102970	16	57404767	57416063	+	protein_coding
CAPNS2	ENSG00000256812	16	55566684	55567687	+	protein_coding
NPAP1L	ENSG00000278499	16	60358455	60359480	-	unprocessed_pseudogene
RPS27P27	ENSG00000244043	16	59088837	59089091	+	processed_pseudogene
LINC02141	ENSG00000261807	16	59855353	60053973	+	lncRNA
CTRB2	ENSG00000168928	16	75204103	75207161	-	protein_coding
PLA2G10GP	ENSG00000277770	16	15358978	15362674	+	unprocessed_pseudogene
VAT1L	ENSG00000171724	16	77788564	77980107	+	protein_coding
MAF	ENSG00000178573	16	79585843	79600737	-	protein_coding
CTRB1	ENSG00000168925	16	75218988	75226338	+	protein_coding
DPPA3P11	ENSG00000260332	16	62808222	62808706	-	processed_pseudogene
FOXC2	ENSG00000176692	16	86566829	86569728	+	protein_coding
SYCE1L	ENSG00000205078	16	77199408	77213215	+	protein_coding
MON1B	ENSG00000103111	16	77190835	77202398	+	protein_coding
ZFP90	ENSG00000184939	16	68530090	68576072	+	protein_coding
FLJ30679	ENSG00000280278	16	86555320	86557299	+	TEC
ZCCHC14	ENSG00000140948	16	87406246	87493024	-	protein_coding
JPH3	ENSG00000154118	16	87601835	87698156	+	protein_coding
HSPE1P7	ENSG00000270945	16	74612596	74613221	-	processed_pseudogene
RPL7AP63	ENSG00000243697	16	86525457	86526252	+	processed_pseudogene
HCCAT5	ENSG00000260880	16	73092349	73099337	+	lncRNA
LINC02135	ENSG00000268532	16	86286427	86293389	+	lncRNA
RPSAP56	ENSG00000284670	16	73940639	73941781	-	translated_processed_pseudogene
DUXAP11	ENSG00000270222	16	59655602	59656336	+	processed_pseudogene
CX3CL1	ENSG00000006210	16	57372477	57385044	+	protein_coding
ZFHX3	ENSG00000140836	16	72782885	73891871	-	protein_coding
VN2R10P	ENSG00000226348	16	77220406	77221258	+	unitary_pseudogene
TMPOP2	ENSG00000262904	16	74667506	74668706	+	processed_pseudogene
ADAMTS18	ENSG00000140873	16	77247813	77435034	-	protein_coding
FOXF1	ENSG00000103241	16	86510527	86515422	+	protein_coding
NPIPA5	ENSG00000183793	16	15363628	15381047	-	protein_coding
GNPATP	ENSG00000259844	16	60654235	60656649	-	processed_pseudogene
RNU6-1340P	ENSG00000207167	16	19012157	19012263	+	snRNA
MIR548W	ENSG00000265005	16	26025237	26025310	+	miRNA
RNA5SP405	ENSG00000199929	16	26028912	26029025	+	rRNA_pseudogene
RNA5-8SP2	ENSG00000200434	16	34162959	34163110	+	rRNA_pseudogene
RNU4-58P	ENSG00000200062	16	59540126	59540266	+	snRNA
RNU6-21P	ENSG00000207441	16	62187540	62187646	-	snRNA
Metazoa_SRP	ENSG00000275808	16	59004213	59004494	+	misc_RNA
RN7SKP76	ENSG00000201289	16	61743154	61743476	-	misc_RNA
RNA5SP430	ENSG00000199299	16	75861048	75861157	-	rRNA_pseudogene
RNU6-758P	ENSG00000252101	16	75286712	75286800	-	snRNA
RN7SKP233	ENSG00000252814	16	76287630	76287739	+	misc_RNA
SNORD33	ENSG00000252022	16	76469508	76469595	-	snoRNA
MIR4719	ENSG00000266426	16	76868936	76869019	+	miRNA
Y_RNA	ENSG00000199949	16	86275429	86275523	-	misc_RNA
CLDN9	ENSG00000213937	16	3012923	3014505	+	protein_coding
RNU1-125P	ENSG00000252561	16	3069523	3069651	+	snRNA
RNU1-22P	ENSG00000200204	16	3086143	3086300	+	snRNA
ZSCAN10	ENSG00000130182	16	3088890	3099295	-	protein_coding
OR1F2P	ENSG00000203581	16	3215611	3216543	+	unprocessed_pseudogene
RPL7L1P19	ENSG00000262316	16	3323192	3323925	-	processed_pseudogene
OR2C1	ENSG00000168158	16	3355889	3357306	+	protein_coding
MTCO1P28	ENSG00000262118	16	3367719	3369246	-	processed_pseudogene
MTND1P8	ENSG00000263177	16	3369957	3370906	-	processed_pseudogene
ZNF597	ENSG00000167981	16	3432414	3443504	-	protein_coding
MIR6126	ENSG00000273776	16	3485381	3485469	-	miRNA
C16orf90	ENSG00000215131	16	3493484	3495489	-	protein_coding
CORO7-PAM16	ENSG00000103426	16	4340251	4420494	-	protein_coding
SNORA30	ENSG00000206755	16	30710537	30710665	+	snoRNA
TMEM265	ENSG00000281991	16	30740642	30745196	+	protein_coding
Metazoa_SRP	ENSG00000274848	16	30816030	30816302	+	misc_RNA
MIR4519	ENSG00000265991	16	30875266	30875323	-	miRNA
MIR762	ENSG00000211591	16	30893903	30893985	+	miRNA
CTF2P	ENSG00000230447	16	30904348	30910208	-	unitary_pseudogene
ORAI3	ENSG00000175938	16	30949068	30956461	+	protein_coding
KAT8	ENSG00000103510	16	31114489	31131393	+	protein_coding
NDUFA3P6	ENSG00000262366	16	31174573	31174822	+	processed_pseudogene
PYCARD	ENSG00000103490	16	31201486	31203450	-	protein_coding
ZP2	ENSG00000103310	16	21197450	21214510	-	protein_coding
ANKS4B	ENSG00000175311	16	21233699	21253850	+	protein_coding
ENPP7P14	ENSG00000273963	16	5110793	5148685	-	unprocessed_pseudogene
LINC02164	ENSG00000261811	16	5215243	5220843	-	lncRNA
RPS3AP48	ENSG00000242278	16	5270174	5270954	+	processed_pseudogene
SNRPCP20	ENSG00000267182	16	5289200	5289409	-	processed_pseudogene
NPM1P3	ENSG00000261007	16	5365797	5366688	+	processed_pseudogene
LINC01570	ENSG00000260338	16	5596856	5616373	-	lncRNA
MIR8065	ENSG00000273648	16	5632467	5632566	+	miRNA
RNU7-99P	ENSG00000252080	16	6748908	6748969	+	snRNA
RNU6-457P	ENSG00000200869	16	6873899	6874005	+	snRNA
RNU6-328P	ENSG00000212189	16	7004007	7004112	-	snRNA
MT4	ENSG00000102891	16	56565073	56568957	+	protein_coding
MT1E	ENSG00000169715	16	56625475	56627112	+	protein_coding
MT1CP	ENSG00000205360	16	56648248	56649514	+	transcribed_unprocessed_pseudogene
MT1B	ENSG00000169688	16	56651886	56653204	+	protein_coding
RNU6-1005P	ENSG00000207248	16	21642054	21642160	+	snRNA
RNU6-196P	ENSG00000207042	16	21642294	21642400	+	snRNA
TPRKBP2	ENSG00000260452	16	28111173	28111647	-	processed_pseudogene
RNY1P10	ENSG00000200138	16	28183318	28183430	+	misc_RNA
SBK1	ENSG00000188322	16	28259246	28323849	+	protein_coding
MIR6862-1	ENSG00000275429	16	28390982	28391051	-	miRNA
CDC37P2	ENSG00000261089	16	28413703	28415018	+	processed_pseudogene
IL27	ENSG00000197272	16	28499362	28512051	-	protein_coding
CDC37P1	ENSG00000259982	16	28700294	28701540	-	processed_pseudogene
MIR6862-2	ENSG00000278340	16	28724252	28724321	+	miRNA
MIR4721	ENSG00000283845	16	28843919	28844007	-	miRNA
CD19	ENSG00000177455	16	28931965	28939342	+	protein_coding
NFATC2IP-AS1	ENSG00000260853	16	28952816	28966883	-	lncRNA
MIR4517	ENSG00000284541	16	28958583	28958661	+	miRNA
SPNS1	ENSG00000169682	16	28974221	28984548	+	protein_coding
SLX1B-SULT1A4	ENSG00000260280	16	29455105	29464963	+	lncRNA
MIR3680-2	ENSG00000266758	16	29599179	29599265	-	miRNA
SMG1P2	ENSG00000205534	16	29527568	29594966	-	transcribed_unprocessed_pseudogene
SLC7A5P1	ENSG00000260727	16	29613103	29613640	-	transcribed_unprocessed_pseudogene
GDPD3	ENSG00000102886	16	30104810	30113537	-	protein_coding
SLX1A-SULT1A3	ENSG00000213599	16	30193892	30204310	+	lncRNA
GPR139	ENSG00000180269	16	20028239	20073890	-	protein_coding
ZNF469	ENSG00000225614	16	88382959	88440757	+	protein_coding
OTOA	ENSG00000155719	16	21663968	21761935	+	protein_coding
HNRNPCP4	ENSG00000263179	16	11242653	11243552	+	processed_pseudogene
RMI2	ENSG00000175643	16	11249619	11381662	+	protein_coding
TNP2	ENSG00000178279	16	11267748	11269533	-	protein_coding
PRM3	ENSG00000178257	16	11273199	11273629	-	protein_coding
PRM2	ENSG00000122304	16	11275639	11276480	-	protein_coding
PRM1	ENSG00000175646	16	11280841	11281330	-	protein_coding
MIR548H2	ENSG00000221801	16	11306440	11306527	-	miRNA
Y_RNA	ENSG00000199668	16	11315067	11315178	+	misc_RNA
Metazoa_SRP	ENSG00000274505	16	11753666	11753948	-	misc_RNA
C16orf46-DT	ENSG00000245059	16	81077319	81078861	+	lncRNA
RNU6-1191P	ENSG00000252608	16	81106533	81106639	-	snRNA
MIR4720	ENSG00000284473	16	81385018	81385093	+	miRNA
PPIAP51	ENSG00000260229	16	81476023	81476519	-	processed_pseudogene
MIR7854	ENSG00000277255	16	81533902	81533966	+	miRNA
MIR6504	ENSG00000275109	16	81611348	81611408	+	miRNA
MIR1972-2	ENSG00000239118	16	70030346	70030422	+	miRNA
EXOSC6	ENSG00000223496	16	70246778	70251940	-	protein_coding
RN7SL279P	ENSG00000265648	16	70276069	70276352	+	misc_RNA
RPS27P26	ENSG00000240043	16	70444674	70444912	-	processed_pseudogene
RNU6-23P	ENSG00000200153	16	70445293	70445399	-	snRNA
SNORD111B	ENSG00000221514	16	70529509	70529588	+	snoRNA
SNORD111	ENSG00000221066	16	70538005	70538098	+	snoRNA
GABARAPL2	ENSG00000034713	16	75566375	75577881	+	protein_coding
DUXB	ENSG00000282757	16	75693893	75701461	-	protein_coding
RN7SL520P	ENSG00000240199	16	75698531	75698816	-	misc_RNA
