Gene_Symbol	Gene_ID	Chr	Start	End	Strand	Biotype
LINC01892	ENSG00000265514	18	5081171	5098780	+	lncRNA
EPB41L3-AS1	ENSG00000265316	18	5463627	5480975	+	lncRNA
LINC01928	ENSG00000267425	18	11454478	11465996	+	lncRNA
SLC25A3P3	ENSG00000263505	18	1159198	1160404	-	processed_pseudogene
ZNF415P1	ENSG00000266127	18	9785108	9787805	+	processed_pseudogene
COX6CP3	ENSG00000266251	18	1176790	1177012	-	processed_pseudogene
RPS4XP18	ENSG00000239490	18	22586465	22587227	+	processed_pseudogene
PPIAP57	ENSG00000266809	18	24689914	24690161	-	processed_pseudogene
BOD1P2	ENSG00000215368	18	5132749	5133229	-	processed_pseudogene
LINC01543	ENSG00000263862	18	26421139	26438041	+	lncRNA
AKAIN1	ENSG00000231824	18	5142911	5197503	-	protein_coding
SLC14A2	ENSG00000132874	18	45212995	45683688	+	protein_coding
TPMTP1	ENSG00000267156	18	47630112	47630848	+	processed_pseudogene
RPS8P3	ENSG00000215457	18	51845007	51845628	-	processed_pseudogene
NPM1P1	ENSG00000267652	18	41789162	41789395	-	processed_pseudogene
ZBTB7C-AS1	ENSG00000286583	18	48162039	48184725	+	lncRNA
MTCO2P2	ENSG00000267541	18	47853233	47853457	-	processed_pseudogene
SINHCAFP1	ENSG00000263829	18	26255698	26256355	-	processed_pseudogene
RPS24P18	ENSG00000243925	18	26098839	26099226	+	processed_pseudogene
MAP1LC3P	ENSG00000267647	18	54954403	54954732	+	processed_pseudogene
CTAGE1	ENSG00000212710	18	22413599	22417915	-	protein_coding
POLR3GP2	ENSG00000266984	18	48478561	48479228	+	processed_pseudogene
HRH4	ENSG00000134489	18	24460637	24479961	+	protein_coding
L3MBTL4-AS1	ENSG00000264707	18	6256747	6260934	+	lncRNA
ATP7BP1	ENSG00000270855	18	22418829	22419294	-	processed_pseudogene
RPSAP57	ENSG00000267524	18	54744750	54745581	+	processed_pseudogene
ZBTB7C-AS2	ENSG00000280197	18	48252301	48252837	+	TEC
ST8SIA3	ENSG00000177511	18	57352557	57371731	+	protein_coding
RPLP0P11	ENSG00000239780	18	50457887	50458795	+	processed_pseudogene
MRPS5P4	ENSG00000266915	18	60519841	60520165	+	processed_pseudogene
ARIH2P1	ENSG00000266296	18	28651732	28653208	+	processed_pseudogene
HMGN1P31	ENSG00000267513	18	60794613	60794916	-	processed_pseudogene
RPL7AP66	ENSG00000175886	18	39334872	39335672	-	processed_pseudogene
RPIAP1	ENSG00000267597	18	61957273	61958014	-	processed_pseudogene
BOD1L2	ENSG00000228075	18	57147087	57150410	+	protein_coding
WDR7-OT1	ENSG00000267225	18	57027832	57038845	+	lncRNA
CDH7	ENSG00000081138	18	65750252	65890337	+	protein_coding
MC4R	ENSG00000166603	18	60371062	60372775	-	protein_coding
LINC01903	ENSG00000265555	18	67808505	67814822	-	lncRNA
RPL31P9	ENSG00000264054	18	67137611	67137751	-	processed_pseudogene
LINC03111	ENSG00000267686	18	60125033	60161195	+	lncRNA
CTBP2P3	ENSG00000267153	18	60663115	60664369	+	processed_pseudogene
DHFRP1	ENSG00000188985	18	26170726	26171284	-	processed_pseudogene
BDP1P	ENSG00000264736	18	77435253	77437242	-	processed_pseudogene
CDH20	ENSG00000101542	18	61333430	61555779	+	protein_coding
MTL3P	ENSG00000264697	18	68527970	68528123	+	processed_pseudogene
RPL30P14	ENSG00000243256	18	61404858	61405205	-	processed_pseudogene
SINHCAFP2	ENSG00000267742	18	60016778	60017441	-	processed_pseudogene
RPS3AP49	ENSG00000242060	18	60149576	60150365	+	processed_pseudogene
LINC02565	ENSG00000267726	18	57169615	57171194	-	lncRNA
RAC1P1	ENSG00000266520	18	24685772	24686351	-	processed_pseudogene
RPS2P6	ENSG00000214255	18	70430231	70431125	+	processed_pseudogene
C18orf21	ENSG00000141428	18	35972625	35979286	+	protein_coding
SLC39A6	ENSG00000141424	18	36108531	36129385	-	protein_coding
NRBF2P1	ENSG00000267797	18	35841759	35842617	+	processed_pseudogene
AIDAP3	ENSG00000264189	18	1927727	1929094	-	processed_pseudogene
NPM1P2	ENSG00000266227	18	26204869	26205904	+	processed_pseudogene
GALR1	ENSG00000166573	18	77249848	77277900	+	protein_coding
LINC02974	ENSG00000266288	18	5381641	5385330	-	lncRNA
SCML2P1	ENSG00000264127	18	6926944	6928210	+	processed_pseudogene
AKR1B10P2	ENSG00000263355	18	68455951	68456877	+	processed_pseudogene
PLEKHB2P1	ENSG00000267066	18	59929226	59930330	+	processed_pseudogene
SDHCP1	ENSG00000264444	18	68866517	68867028	+	processed_pseudogene
KRT8P5	ENSG00000267573	18	44320800	44322257	-	processed_pseudogene
LINC01898	ENSG00000261194	18	75696044	75712851	-	lncRNA
MBP	ENSG00000197971	18	76978827	77133683	-	protein_coding
HNRNPA1P11	ENSG00000264315	18	72618267	72619222	+	processed_pseudogene
KRT18P8	ENSG00000264644	18	9678248	9679493	-	processed_pseudogene
EIF4A3P1	ENSG00000266181	18	24522273	24522919	-	processed_pseudogene
PRPF19P1	ENSG00000264685	18	66068750	66069647	-	processed_pseudogene
LINC01910	ENSG00000266278	18	70380140	70384591	-	lncRNA
LARP7P3	ENSG00000265698	18	70412055	70412391	+	processed_pseudogene
LINC01477	ENSG00000261715	18	40066286	40099233	+	lncRNA
RPL12P40	ENSG00000243516	18	37672689	37673176	+	processed_pseudogene
RPL17P45	ENSG00000267664	18	40143926	40144504	-	processed_pseudogene
LINC01916	ENSG00000264232	18	65423958	65448167	+	lncRNA
LINC01922	ENSG00000259779	18	74409415	74413209	+	lncRNA
ENTR1P1	ENSG00000256704	18	60009994	60011143	-	processed_pseudogene
SLC25A51P2	ENSG00000263716	18	7134931	7135819	+	processed_pseudogene
NFE2L3P1	ENSG00000267497	18	59969438	59971396	+	processed_pseudogene
RN7SKP72	ENSG00000199197	18	1323794	1324085	-	misc_RNA
RNU6-349P	ENSG00000199272	18	6454962	6455068	+	snRNA
RN7SL282P	ENSG00000243591	18	6601540	6601836	+	misc_RNA
MIR4317	ENSG00000283532	18	6374361	6374425	-	miRNA
U3	ENSG00000199856	18	7995570	7995785	+	snoRNA
RNU6-916P	ENSG00000251897	18	6936912	6937020	-	snRNA
RNU2-27P	ENSG00000251994	18	9518119	9518260	-	snRNA
RNU6-903P	ENSG00000212572	18	9617964	9618072	-	snRNA
Y_RNA	ENSG00000200883	18	9249649	9249746	-	misc_RNA
Y_RNA	ENSG00000207092	18	9250110	9250211	+	misc_RNA
RN7SL97P	ENSG00000242216	18	25818234	25818532	-	misc_RNA
RNU6-1289P	ENSG00000207160	18	26366301	26366406	-	snRNA
MIR302F	ENSG00000283218	18	30298910	30298960	+	miRNA
Y_RNA	ENSG00000199636	18	24429505	24429609	+	misc_RNA
Y_RNA	ENSG00000199204	18	34001698	34001799	-	misc_RNA
MIR3975	ENSG00000283514	18	35591737	35591806	+	miRNA
MIR3929	ENSG00000265641	18	35934088	35934142	-	miRNA
MIR4318	ENSG00000266530	18	37657135	37657215	+	miRNA
MIR924	ENSG00000283615	18	39622123	39622175	-	miRNA
MIR5583-2	ENSG00000283645	18	39676719	39676777	-	miRNA
MIR5583-1	ENSG00000266148	18	39676721	39676779	+	miRNA
RNU6-1242P	ENSG00000212354	18	39678520	39678622	-	snRNA
RN7SKP182	ENSG00000222704	18	39016047	39016344	-	misc_RNA
RNA5SP454	ENSG00000253040	18	42270589	42270715	+	rRNA_pseudogene
RNA5SP455	ENSG00000202060	18	44071583	44071701	+	rRNA_pseudogene
MIR187	ENSG00000207797	18	35904818	35904926	-	miRNA
MIR4743	ENSG00000266276	18	48670600	48670668	+	miRNA
RNU6-706P	ENSG00000253038	18	39034007	39034110	+	snRNA
RNU6-708P	ENSG00000206944	18	48169784	48169890	-	snRNA
RNA5SP458	ENSG00000251997	18	50319002	50319120	+	rRNA_pseudogene
RNU6-737P	ENSG00000202240	18	57284602	57284708	-	snRNA
Y_RNA	ENSG00000206865	18	56753226	56753326	-	misc_RNA
U3	ENSG00000212539	18	56957270	56957469	+	snoRNA
RNU6-116P	ENSG00000206769	18	61391595	61391703	+	snRNA
RN7SL342P	ENSG00000239398	18	59972914	59973207	+	misc_RNA
RNA5SP456	ENSG00000200872	18	48475487	48475600	-	rRNA_pseudogene
RNU4-17P	ENSG00000202468	18	60163567	60163707	+	snRNA
RNU6-567P	ENSG00000252555	18	60018625	60018731	+	snRNA
MIR5011	ENSG00000263354	18	67081584	67081686	+	miRNA
RNU6-142P	ENSG00000206746	18	62731226	62731332	-	snRNA
RNU6-1037P	ENSG00000238680	18	66946116	66946222	+	snRNA
RN7SL705P	ENSG00000243549	18	62650308	62650601	-	misc_RNA
RN7SL795P	ENSG00000239748	18	70512727	70513008	+	misc_RNA
RNA5SP460	ENSG00000252598	18	72751952	72752051	+	rRNA_pseudogene
MIR548AV	ENSG00000263750	18	72853321	72853382	-	miRNA
RNU6-39P	ENSG00000207072	18	68858934	68859040	+	snRNA
