Gene_Symbol	Gene_ID	Chr	Start	End	Strand	Biotype
CYCSP41	ENSG00000278678	21	10576292	10576587	+	processed_pseudogene
OR4K11P	ENSG00000179381	21	13544210	13545185	-	unprocessed_pseudogene
CTBP2P10	ENSG00000280330	21	7129103	7130287	+	processed_pseudogene
RBPMSLP	ENSG00000234159	21	15744004	15745080	-	processed_pseudogene
SREK1IP1P1	ENSG00000229336	21	19739709	19740150	+	processed_pseudogene
MIR548XHG	ENSG00000224141	21	18561265	18760320	-	lncRNA
FDPSP6	ENSG00000233676	21	20388334	20388845	+	processed_pseudogene
NEK4P1	ENSG00000225735	21	17210469	17211347	-	processed_pseudogene
PPIAP22	ENSG00000198618	21	18857779	18858276	+	processed_pseudogene
SLC6A6P1	ENSG00000226818	21	19244543	19246392	+	processed_pseudogene
CTBP2P9	ENSG00000279177	21	7626344	7627528	-	processed_pseudogene
CHODL-AS1	ENSG00000231755	21	17835016	17885608	-	lncRNA
TUBAP1	ENSG00000237569	21	23407658	23409128	-	processed_pseudogene
TMPRSS15	ENSG00000154646	21	18269116	18485879	-	protein_coding
VN1R7P	ENSG00000275592	21	10357400	10358620	+	processed_pseudogene
ZNF299P	ENSG00000219368	21	23090028	23091831	-	processed_pseudogene
SNX19P1	ENSG00000228184	21	13525599	13528579	+	processed_pseudogene
SLC25A15P4	ENSG00000273872	21	10612455	10613379	-	unprocessed_pseudogene
GPX1P2	ENSG00000215326	21	27143344	27143949	-	processed_pseudogene
IGHV1OR21-1	ENSG00000277282	21	10649400	10649835	-	IG_V_gene
HSPD1P7	ENSG00000215005	21	28887280	28889272	-	processed_pseudogene
MSANTD2P1	ENSG00000231058	21	23101223	23103074	+	processed_pseudogene
C1QBPP1	ENSG00000215353	21	19759359	19760128	-	processed_pseudogene
RPL10P1	ENSG00000217026	21	27420380	27421023	-	processed_pseudogene
LINC00317	ENSG00000238265	21	21723293	21737319	-	lncRNA
LINC01689	ENSG00000224832	21	24304546	24321377	-	lncRNA
KRT18P2	ENSG00000234439	21	20424949	20426206	-	processed_pseudogene
KRTAP25-1	ENSG00000232263	21	30289145	30289514	-	protein_coding
RPSAP68	ENSG00000279990	21	8603547	8603984	+	processed_pseudogene
EEF1A1P1	ENSG00000223822	21	23390258	23390996	+	processed_pseudogene
RPL8P2	ENSG00000225267	21	30263380	30263881	-	processed_pseudogene
CLDN17	ENSG00000156282	21	30165565	30166805	-	protein_coding
BTF3L4P1	ENSG00000232260	21	17518526	17518993	-	processed_pseudogene
RPL37P3	ENSG00000215369	21	17894193	17894485	-	processed_pseudogene
THUMPD1P1	ENSG00000215317	21	28901779	28903697	-	processed_pseudogene
PPIAP1	ENSG00000215351	21	20828127	20828622	-	processed_pseudogene
LLPHP2	ENSG00000235514	21	25762938	25763333	-	processed_pseudogene
KRTAP24-1	ENSG00000188694	21	30281309	30282950	-	protein_coding
NCSTNP1	ENSG00000219592	21	27492118	27492261	+	processed_pseudogene
RPS3AP1	ENSG00000233206	21	20430443	20430762	-	processed_pseudogene
EIF4A1P1	ENSG00000233300	21	27367014	27367947	-	processed_pseudogene
LINC00307	ENSG00000227342	21	30209151	30211783	-	lncRNA
NCAM2	ENSG00000154654	21	20998409	21543329	+	protein_coding
OR4K12P	ENSG00000218549	21	13581060	13582004	-	unprocessed_pseudogene
RPSAP64	ENSG00000227721	21	38894917	38895252	+	processed_pseudogene
TPT1P1	ENSG00000234107	21	31840341	31840858	+	processed_pseudogene
CLDN8	ENSG00000156284	21	30214006	30216097	-	protein_coding
LINC02943	ENSG00000237609	21	39028536	39029128	-	lncRNA
HUNK-AS1	ENSG00000237138	21	32020966	32021782	-	lncRNA
EIF3FP1	ENSG00000275945	21	10330732	10331537	+	processed_pseudogene
LINC00308	ENSG00000184856	21	22098616	22116605	+	lncRNA
MORC3	ENSG00000159256	21	36320189	36386148	+	protein_coding
NIPA2P3	ENSG00000271486	21	19620695	19621545	+	processed_pseudogene
LINC01700	ENSG00000232837	21	38974429	38977774	-	lncRNA
FDX1P2	ENSG00000227054	21	25692180	25692554	+	processed_pseudogene
CHODL	ENSG00000154645	21	17901263	18267373	+	protein_coding
PSMA6P3	ENSG00000233767	21	46072085	46072248	-	processed_pseudogene
MAPK6P2	ENSG00000223488	21	22436290	22438349	-	processed_pseudogene
ZNF355P	ENSG00000168122	21	13095305	13113790	-	unprocessed_pseudogene
BNIP3P43	ENSG00000237202	21	13120244	13120807	+	processed_pseudogene
ANKRD30BP1	ENSG00000175302	21	13384249	13427773	-	unprocessed_pseudogene
VN1R8P	ENSG00000219280	21	13476371	13477263	+	processed_pseudogene
GTF2IP2	ENSG00000226930	21	13443373	13489176	-	unprocessed_pseudogene
SNRPGP13	ENSG00000231480	21	38502445	38502621	+	processed_pseudogene
Y_RNA	ENSG00000277777	21	5597390	5597490	+	misc_RNA
5_8S_rRNA	ENSG00000277739	21	8256781	8256933	+	rRNA
MIR6724-2	ENSG00000274060	21	8249505	8249596	+	miRNA
Y_RNA	ENSG00000274484	21	7474394	7474494	+	misc_RNA
MIR6724-3	ENSG00000277379	21	8388362	8388453	+	miRNA
RNA5-8SN3	ENSG00000275215	21	8395607	8395759	+	rRNA
MIR6724-4	ENSG00000275692	21	8432530	8432621	+	miRNA
RNA5-8SN1	ENSG00000278189	21	8439823	8439975	+	rRNA
Y_RNA	ENSG00000276546	21	7663911	7664011	-	misc_RNA
MIR6724-1	ENSG00000275950	21	8205315	8205406	+	miRNA
MIR3648-1	ENSG00000275708	21	8208473	8208652	+	miRNA
RNA5-8SN2	ENSG00000278233	21	8212572	8212724	+	rRNA
SNORA70	ENSG00000252199	21	9907916	9908010	+	snoRNA
MIR3118-1	ENSG00000266299	21	13644775	13644850	-	miRNA
Y_RNA	ENSG00000274046	21	7092616	7092716	+	misc_RNA
RNU6-286P	ENSG00000207476	21	13621577	13621683	+	snRNA
RN7SL52P	ENSG00000264002	21	9902344	9902627	-	misc_RNA
RNU6-113P	ENSG00000252462	21	17431547	17431647	+	snRNA
Y_RNA	ENSG00000200754	21	17527140	17527247	-	misc_RNA
Y_RNA	ENSG00000199962	21	17576798	17576906	+	misc_RNA
RN7SKP147	ENSG00000252963	21	20356653	20356896	+	misc_RNA
RNU6-772P	ENSG00000251851	21	20355748	20355852	-	snRNA
RNU2-55P	ENSG00000223078	21	23281736	23281909	-	snRNA
RNU1-139P	ENSG00000212609	21	19345148	19345312	+	snRNA
RNU4-45P	ENSG00000202339	21	22205192	22205332	+	snRNA
MIR3156-3	ENSG00000266211	21	13406384	13406460	-	miRNA
Y_RNA	ENSG00000199698	21	23432181	23432282	-	misc_RNA
RN7SKP236	ENSG00000274662	21	25101132	25101415	+	misc_RNA
RN7SL163P	ENSG00000266195	21	17506453	17506728	+	misc_RNA
MIR6130	ENSG00000275469	21	23079284	23079392	+	miRNA
RNA5SP489	ENSG00000238627	21	25202207	25202315	+	rRNA_pseudogene
MIR4759	ENSG00000266133	21	26953961	26954043	+	miRNA
MIR548X	ENSG00000265841	21	18686090	18686164	-	miRNA
RNU6-614P	ENSG00000207097	21	13047583	13047689	+	snRNA
U6	ENSG00000283300	21	28743208	28743291	+	snRNA
SNORA62	ENSG00000272015	21	38894785	38894867	+	snoRNA
SNORA80A	ENSG00000200792	21	32377187	32377322	-	snoRNA
UMODL1-AS1	ENSG00000184385	21	42102134	42108534	-	lncRNA
RUNX1-AS2	ENSG00000234703	21	35136638	35139222	+	lncRNA
RPL34P3	ENSG00000223671	21	35472095	35472432	-	processed_pseudogene
EZH2P1	ENSG00000231300	21	35599732	35600022	-	processed_pseudogene
MIR802	ENSG00000211590	21	35720715	35720808	+	miRNA
RPS20P1	ENSG00000229761	21	35724747	35725100	-	processed_pseudogene
PPP1R2P2	ENSG00000234008	21	35887195	35887807	+	processed_pseudogene
RPL23AP3	ENSG00000214914	21	36016079	36016546	-	processed_pseudogene
RIMKLBP1	ENSG00000189089	21	36050214	36051377	+	processed_pseudogene
RNU6-992P	ENSG00000200213	21	36066545	36066652	+	snRNA
CBR1	ENSG00000159228	21	36069941	36073166	+	protein_coding
RPS9P1	ENSG00000214889	21	36132450	36133032	+	processed_pseudogene
